offer_id	old_value	new_value
MARK-T61004104X-L-42E	MARK-T61004104X	mands-MARK-T61004104X
SML-MAR-T61004934P-L-42E	MARK-T61004934P	mands-SML-T61004934P
SML-MAR-T61004902B-SIYAH-46	MARK-T610049	mands-SML-T61004902B
SML-MAR-T61004902B-42	MARK-T610049	mands-SML-T61004902B
SML-MAR-T61004902B-SIYAH-42	MARK-T610049	mands-SML-T61004902B
SML-MAR-T61004934P-4XL-50E	MARK-T61004934P	mands-SML-T61004934P
MARK-T61004130-3XL-48E	MARK-T61004130	mands-MARK-T61004130
SML-MAR-T61004934P-2XL-46E	MARK-T61004934P	mands-SML-T61004934P
SML-MAR-T61004934P-3XL-48E	MARK-T61004934P	mands-SML-T61004934P
MARK-T61004104X-2XL-46E	MARK-T61004104X	mands-MARK-T61004104X
MARK-T61004104X-3XL-48E	MARK-T61004104X	mands-MARK-T61004104X
MARK-T61004130-2XL-46E	MARK-T61004130	mands-MARK-T61004130
MARK-T61004104X-5XL-52E	MARK-T61004104X	mands-MARK-T61004104X
SML-MAR-T61004934P-5XL-52E	MARK-T61004934P	mands-SML-T61004934P
MARK-T61004104X-4XL-50E	MARK-T61004104X	mands-MARK-T61004104X
MARK-T61004130-XXS-34E	MARK-T61004130	mands-MARK-T61004130
SML-MAR-T61002003X-XXS-34E	MARK-T61002003X	mands-SML-T61002003X
MARK-T14008304F-MAVI-XXXXL	MARK-T14008304	mands-MARK-T14008304F
SML-MAR-T61002003X-3XL-48E	MARK-T61002003X	mands-SML-T61002003X
SML-MAR-T61002003X-2XL-46E	MARK-T61002003X	mands-SML-T61002003X
MARK-T14008304F-MAVI-XXXL	MARK-T14008304	mands-MARK-T14008304F
MAR-T61005100X-40EU	MAR-T61005100X	mands-MAR-T61005100X
MAR-T81006470T-SIYAH-40EU	MAR-T81006470T	mands-MAR-T81006470T
SML-MAR-T61008801N-SIYAH-36EU	SML-MAR-T61008801N-SIYAH	mands-SML-T61008801N
SML-MAR-T61008801N-SIYAH-42EU	SML-MAR-T61008801N-SIYAH	mands-SML-T61008801N
MAR-T61004902F-BEYAZ-50EU	SET12	mands-MAR-T61004902F
SML-MAR-T61008800N-SIYAH-42EU	SML-MAR-T61008800N-SIYAH	mands-SML-T61008800N
MAR-T81006470L-SIYAH-44EU	MAR-T81006470L-SIYAH	mands-MAR-T81006470L
MAR-T81006470L-SIYAH-36EU	MAR-T81006470L-SIYAH	mands-MAR-T81006470L
MAR-T81006470T-SIYAH-42EU	MAR-T81006470T	mands-MAR-T81006470T
MAR-T81006470T-SIYAH-38EU	MAR-T81006470T	mands-MAR-T81006470T
MAR-T81006437Y-KREM-36EU	MAR-T81006437Y-KREM	mands-MAR-T81006437Y
MAR-T81006437Y-KREM-34EU	MAR-T81006437Y-KREM	mands-MAR-T81006437Y
MAR-T33006762H-SIYAH-38EU	MAR-T33006762H-SIYAH	mands-MAR-T33006762H
SML-MAR-T61008800F-SIYAH-40EU	SML-MAR-T61008800F-SIYAH	mands-SML-T61008800F
MAR-T61004902F-SIYAH-46EU	SET12	mands-MAR-T61004902F
SML-MAR-T61008800F-SIYAH-44EU	SML-MAR-T61008800F-SIYAH	mands-SML-T61008800F
MAR-T61004902F-SIYAH-36EU	SET12	mands-MAR-T61004902F
MAR-T61004902F-BEYAZ-48EU	SET12	mands-MAR-T61004902F
SML-MAR-T61008800N-SIYAH-38EU	SML-MAR-T61008800N-SIYAH	mands-SML-T61008800N
SML-MAR-T61008800N-SIYAH-36EU	SML-MAR-T61008800N-SIYAH	mands-SML-T61008800N
MAR-T81006470T-SIYAH-44EU	MAR-T81006470T	mands-MAR-T81006470T
MAR-T33006762H-SIYAH-44EU	MAR-T33006762H-SIYAH	mands-MAR-T33006762H
MAR-T33006762H-SIYAH-46EU	MAR-T33006762H-SIYAH	mands-MAR-T33006762H
MAR-T61004902F-SIYAH-38EU	SET12	mands-MAR-T61004902F
MAR-T61004902F-BEYAZ-34EU	SET12	mands-MAR-T61004902F
MAR-T81006470L-SIYAH-42EU	MAR-T81006470L-SIYAH	mands-MAR-T81006470L
SML-MAR-T61008800N-SIYAH-44EU	SML-MAR-T61008800N-SIYAH	mands-SML-T61008800N
MAR-T81006470T-SIYAH-36EU	MAR-T81006470T	mands-MAR-T81006470T
MAR-T61004902F-SIYAH-48EU	SET12	mands-MAR-T61004902F
MAR-T61004902F-BEYAZ-36EU	SET12	mands-MAR-T61004902F
MAR-T61004666-BEYAZ-40EU	SET5	mands-MAR-T61004666
MAR-T61004666-SIYAH-36EU	SET5	mands-MAR-T61004666
MAR-T61004666-BEYAZ-38EU	SET5	mands-MAR-T61004666
MAR-T61004666-SIYAH-48EU	SET5	mands-MAR-T61004666
MAR-T61004666-BEYAZ-46EU	SET5	mands-MAR-T61004666
MAR-T61004902F-SIYAH-40EU	SET12	mands-MAR-T61004902F
MAR-T61004666-SIYAH-34EU	SET5	mands-MAR-T61004666
MAR-T61004666-SIYAH-40EU	SET5	mands-MAR-T61004666
MAR-T61004902F-BEYAZ-38EU	SET12	mands-MAR-T61004902F
MAR-T33006762H-SIYAH-42EU	MAR-T33006762H-SIYAH	mands-MAR-T33006762H
MAR-T33006762H-SIYAH-36EU	MAR-T33006762H-SIYAH	mands-MAR-T33006762H
MAR-T61004902F-BEYAZ-40EU	SET12	mands-MAR-T61004902F
MAR-T61005204N-BEJ-42EU	MAR-T61005204N-BEJ	mands-MAR-T61005204N
MAR-T61004666-BEYAZ-42EU	SET5	mands-MAR-T61004666
MAR-T81006437Y-KREM-40EU	MAR-T81006437Y-KREM	mands-MAR-T81006437Y
MAR-T81006437Y-KREM-42EU	MAR-T81006437Y-KREM	mands-MAR-T81006437Y
SML-MAR-T61008800N-SIYAH-34EU	SML-MAR-T61008800N-SIYAH	mands-SML-T61008800N
MAR-T61004902F-SIYAH-50EU	SET12	mands-MAR-T61004902F
SML-MAR-T61008800N-SIYAH-40EU	SML-MAR-T61008800N-SIYAH	mands-SML-T61008800N
MAR-T61004902F-SIYAH-42EU	SET12	mands-MAR-T61004902F
